Reaction_id_in_ReactionPool	Comments	Equations	PPS_Shan
R04037	"1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase"	3.5.4.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04109	L-glutamate-semialdehyde: NADP + oxidoreductase(L-glutamyl-tRNA(Glu)-forming)	1.2.1.70	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04120	peptide-L-methionine:thioredoxin-disulfide S-oxidoreductase [L-methionine (S)-S-oxide-forming]	1.8.4.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04144	5-Phospho-D-ribosylamine:glycine ligase (ADP-forming)	6.3.4.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04159	(5-L-glutamyl)-peptide:amino-acid 5-glutamyltransferase	2.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04206	3-Phospho-D-erythronate hydro-lyase	4.2.1.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04208	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)	6.3.3.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04212	Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)	6.3.5.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04216	dolichyl-diphosphooligosaccharide:protein-L-asparagine oligopolysaccharidotransferase	2.4.1.119	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04230	(R)-4'-Phosphopantothenate:L-cysteine ligase	6.3.2.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04231	(R)-4'-Phosphopantothenate:L-cysteine ligase	6.3.2.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04238	Aminoacyl-tRNA aminoacylhydrolase	3.1.1.29	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04273	Peptidylproline cis-trans-isomerase	5.2.1.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04274	"RNA-3'-phosphate:RNA ligase (cyclizing, AMP-forming)"	6.5.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04292	glycerone phosphate:iminosuccinate alkyltransferase (cyclizing)	2.5.1.72	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04294	2'-Deoxyribonucleoside diphosphate:oxidized-thioredoxin 2'-oxidoreductase	1.17.4.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04314	DNA-6-O-methylguanine:protein-L-cysteine S-methyltransferase	2.1.1.63	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04315	2'-Deoxyribonucleoside triphosphate:oxydized-thioredoxin 2'-oxidoreductase	1.17.4.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04316	Acetyl-CoA:ribosomal-protein-L-alanine N-acetyltransferase	2.3.1.128	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04325	10-Formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase	2.1.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04326	"5'-Phosphoribosylglycinamide + 5,10-Methenyltetrahydrofolate + H2O <=> 5'-Phosphoribosyl-N-formylglycinamide + Tetrahydrofolate"	2.1.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04347	"5-Methyl-5,6,7,8-tetrahydromethanopterin:2-mercaptoethanesulfonate 2-methyltransferas"	2.1.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04348	Acetyl-CoA:2-deoxystreptamine-antibiotic N3'-acetyltransferase	2.3.1.81	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04378	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	2.4.2.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04420	5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase	5.3.1.23	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04426	"(2R,3S)-3-isopropylmalate:NAD + oxidoreductase"	1.1.1.85	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04435	"phosphoenolpyruvate:N-acetyl-D-mannosamine-6-phosphate C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming)"	2.5.1.56; 2.5.1.57	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04439	"(R)-2,3-dihydroxy-3-methylbutanoate:NADP + oxidoreductase (isomerizing)"	1.1.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04440	"(R)-2,3-Dihydroxy-3-methylbutanoate:NADP + oxidoreductase (isomerizing)"	1.1.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04441	"(R)-2,3-Dihydroxy-3-methylbutanoate hydro-lyase"	4.2.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04463	5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)	6.3.5.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04475	"N-Succinyl-L-2,6-diaminoheptanedioate:2-oxoglutarate amino-transferase"	2.6.1.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04481	S-Adenosyl-L-methionine:2-(3-carboxy-3-aminopropyl)-L-histidine methyltransferase	2.1.1.98	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04509	ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase	2.7.4.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04533	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP + oxidoreductase	1.1.1.100; 2.3.1.85; 2.3.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04534	(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP + oxidoreductase	1.1.1.100; 2.3.1.85; 2.3.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04536	(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP + oxidoreductase	1.1.1.100; 2.3.1.85; 2.3.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04543	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP + oxidoreductase	1.1.1.100; 2.3.1.85; 2.3.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04558	Imidazole-glycerol-3-phosphate synthase	2.4.2.-; 4.1.3.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04559	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole AMP-lyase	4.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04562	Biotin:apo-[acetyl-CoA:carbondioxide ligase (ADP-forming)] ligase (AMP-forming)	6.3.4.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04566	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP + oxidoreductase	1.1.1.100; 2.3.1.85; 2.3.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04591	1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)	6.3.2.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04639	"2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate hydrolase"	3.5.4.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04640	N-(5'-phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase	5.3.1.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04672	(S)-2-Acetolactate pyruvate-lyase (carboxylating)	2.2.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04673	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)	2.2.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04710	"Protein-glycine,dihydroflavodoxin:S-adenosyl-L-methionine oxidoreductase (S-adenosyl-L-methionine cleaving)"	1.97.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04734	4a-hydroxytetrahydrobiopterin hydro-lyase	4.2.1.96	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04771	ATP:L-selenomethione S-adenosyltransferase	2.5.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04773	Selenomethionine:tRNAMet ligase (AMP-forming)	6.1.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04780	"beta-D-Fructose 1,6-bisphosphate 1-phosphohydrolase"	3.1.3.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04805	alcohol dehydrogenase (glycerol)	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04858	S-adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase	2.1.1.37	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04859	"O3-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase (reducing, L-cysteine-forming)"	2.5.1.47; 2.5.1.49	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04880	"3,4-dihydroxyphenylethyleneglycol:NAD + oxidoreductase"	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04928	ATP:adenylylsulfate 3'-phosphotransferase	2.7.1.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04929	ATP:selenate adenylyltransferase	2.7.7.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04935	(5-L-glutamyl)-peptide:Se-Methylselenocysteine 5-glutamyltransferase	2.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04936	Se-Adenosylselenohomocysteine hydrolase	3.3.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04951		3.4.11.1; 3.4.11.2; 3.4.11.23; 3.4.13.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04953	(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP + oxidoreductase	1.1.1.100; 2.3.1.85; 2.3.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04964	(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP + oxidoreductase	1.1.1.100; 2.3.1.85; 2.3.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04985	4-hydroxy-3-polyprenylbenzoate carboxy-lyase	4.1.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04986	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	4.1.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04990	UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase	2.1.1.201	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04993	S-adenosyl-L-methione:demethylmenaquinone methyltransferase	2.1.1.163	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05032	"UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase"	2.4.1.227	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05046	formamidopyrimidine nucleoside triphosphate amidohydrolase	3.5.4.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05048	"2,5-diaminopyrimidine nucleoside triphosphate mutase"	3.5.4.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05052	L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	2.6.1.1; 2.6.1.23	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05068	"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP + oxidoreductase"	1.1.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05069	(S)-2-Aceto-2-hydroxybutanoate:NADP + oxidoreductase (isomerizing)	1.1.1.86; 5.4.99.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05070	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)"	4.2.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05071	"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)"	1.1.1.86; 5.4.99.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05086	O-Phospho-4-hydroxy-L-threonine phospho-lyase (adding water)	4.2.3.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05145	biotin--protein ligase	6.3.4.9; 6.3.4.10; 6.3.4.11; 6.3.4.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05149	"S-Adenosyl-L-methionine:1-precorrin-6Y C5,15-methyltransferase (C-12-decarboxylating)"	2.1.1.132	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05177	"precorrin 8X 11,12-methylmutase"	5.4.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05180	S-adenosyl-L-methionine:precorrin-3B C17-methyltransferase	2.1.1.131	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05181	S-adenosyl-L-methionine:precorrin-4 C11 methyltransferase	2.1.1.133	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05220	"ATP:cob(I)yrinic acid-a,c-diamide Cobeta-adenosyltransferase"	2.5.1.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05223	Adenosylcobalamin 5'-phosphate synthase	2.7.8.26	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05224	"cobyrinic acid a,c-diamide synthase"	6.3.5.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05225	adenosylcobyric acid synthase (glutamine-hydrolysing)	6.3.5.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05233	trans-3-Chloro-2-propene-1-ol:NAD + oxidoreductase	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05234	cis-3-chloro-2-propene-1-ol:NAD + oxidoreductase	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05298	4-hydroxy-2-oxohexanoate pyruvate-lyase (propanal-forming)	4.1.3.39	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05329	"Spermidine:eIF5A-lysine 4-aminobutyltransferase (propane-1,3-diamine-forming)"	2.5.1.46	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05577	L-Aspartate:tRNA(Asp) ligase (AMP-forming)	6.1.1.12; 6.1.1.23	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05578	L-glutamate:tRNA(Glu) ligase (AMP-forming)	6.1.1.17; 6.1.1.24	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05617	"all-trans-polyprenyl diphosphate:1,4-dihydroxy-2-naphthoate polyprenyltransferase"	2.5.1.74	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05662	UDP-N-acetyl-D-glucosamine:N-acetyl-alpha-D-muramyl(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase	2.4.1.227	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05679	sn-glycerol-1-phosphate:NAD 2-oxidoreductase	1.1.1.261	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05680	sn-glycerol-1-phosphate:NADP 2-oxidoreductase	1.1.1.261	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05705	FMNH2:NAD + oxidoreductase	1.5.1.39; 1.5.1.41; 1.5.1.42; 1.5.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05808	S-adenosyl-L-methionine:cobalt-factor-II C20-methyltransferase	2.1.1.151	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05809	precorrin-3B C17-methyltransferase	2.1.1.131	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05810	cobalt-precorrin-4 methyltransferase	2.1.1.133	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05813	"precorrin-6Y C5,15-methyltransferase (decarboxylating)"	2.1.1.132	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05814	"precorrin-8 11,12-methylmutase"	5.4.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05815	cobyrinate:L-glutamine amido-ligase (ADP-forming)	6.3.5.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05976		2.4.1.119	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06137	Cytosine deaminase	3.5.4.1; 3.5.4.2; 3.5.4.3; 3.5.4.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06172		2.4.1.227	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06447	"(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate cistransferase (adding 8 isopentenyl units)"	2.5.1.31	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06513	"dTDPglucose 4,6-dehydratase"	4.2.1.46	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06514	"dTDP-4-dehydro-6-deoxy-alpha-D-glucose 3,5-epimerase"	5.1.3.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06529	adenosylcobyric acid:(R)-1-aminopropan-2-yl phosphate ligase	6.3.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06590	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehydetransferase	2.2.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06782	"3-phenylpropanoate,NADH:oxygen oxidoreductase (2,3-hydroxylating)"	1.14.12.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06783	"trans-cinnamate,NADH:oxygen oxidoreductase (2,3-hydroxylating)"	1.14.12.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06858	"1,4-dihydroxy-2-naphthoate phytyltransferase"	2.5.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06859	demethylphylloquinone methyltransferase	2.1.1.163	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06861	D-xylulose-5-phosphate:thiamin diphosphate glycolaldehydetransferase	2.2.1.1; 2.2.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06863	D-sedoheptulose-7-phosphate:thiamin diphosphate glycolaldehydetransferase	2.2.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06917	1-hydroxymethylnaphthalene:NAD + oxidoreductase	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06927	(2-naphthyl)methanol:NAD + oxidoreductase	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06975	5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase	6.3.4.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06977	"L-2,4-diaminobutyrate:2-oxoglutarate 4-aminotransferase"	2.6.1.76	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06978	"acetyl-CoA:L-2,4-diaminobutanoate N4-acetyltransferase"	2.3.1.178	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06979	Ectoine hydro-lyase	4.2.1.108	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07105	alcohol dehydrogenase (glycerol)	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07145	L-iditol:NAD + 2-oxidoreductase	1.1.1.14	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07164	L-aspartate:NAD + oxidoreductase (deaminating)	1.4.1.21	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07180		1.11.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07268	ATP:cobinamide Cobeta-adenosyltransferase	2.5.1.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07281	"D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)"	4.1.99.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07302	adenosylcobyric acid:(R)-1-aminopropan-2-ol ligase (ADP-forming)	6.3.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07306	"GTP 8,9-hydrolase (phosphate-forming)"	3.5.4.29	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07324	1D-myo-inositol-3-phosphate lyase (isomerizing)	5.5.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07326	alcohol dehydrogenase (glycerol)	1.1.1.1; 1.1.1.71	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07327	alcohol dehydrogenase (glycerol)	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07343	myo-inositol-phosphate phosphohydrolase	3.1.3.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07349	n-alkanal:NAD + 2-oxidoreductase	1.3.1.74	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07353	"6-(2-Amino-2-carboxyethyl)-7,8-dioxo-7,8-dihydroquinoline-2,4-dicarboxylate:oxygen oxidoreductase (cyclizing)"	1.3.3.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07404	5-amino-1-(5-phospho-D-ribosyl)imidazole:carbon-dioxide ligase (ADP-forming)	6.3.4.18	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07405	5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole carboxymutase	5.4.99.18	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07410	L-aspartate:NAD + oxidoreductase (deaminating)	1.4.1.21	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07411	protoheme IX farnesyltransferase	2.5.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07412			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07456	"D-ribulose 5-phosphate,D-glyceraldehyde 3-phosphate pyridoxal 5'-phosphate-lyase"		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07461			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07477	spermidine:NAD + oxidoreductase	2.5.1.46	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07606	L-methionine:thioredoxin-disulfide S-oxidoreductase	1.8.4.11; 1.8.4.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07607	peptide-methionine:thioredoxin-disulfide S-oxidoreductase	1.8.4.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07641	carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07759		1.1.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07763	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	1.1.1.100	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07772	cobalt-precorrin 5A acylhydrolase	3.7.1.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07773	S-adenosyl-L-methionine:cobalt-precorrin-5B (C1)-methyltransferase	2.1.1.195	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07774	S-adenosyl-L-methionine:cobalt-precorrin-6B C15-methyltransferase (C12-decarboxylating)	2.1.1.132	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07775	S-adenosyl-L-methionine:cobalt-precorrin-7 C5-methyltransferase	2.1.1.196	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08050	ectoine hydroxylase	1.14.11.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08198	NAD-binding D-isomer specific 2-hydroxyacid dehydrogenase	1.1.1.95	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08221	5'-deoxy-5-fluorocytidine aminohydrolase	3.5.4.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08227	"5,6-dihydro-5-fluorouracil amidohydrolase"	3.5.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08231	5-fluorouridine monophosphate:diphosphate phospho-alpha-D-ribosyl-transferase	2.4.2.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08240	6-thioinosine 5'-monophosphate:NAD + oxidoreductase	1.1.1.205	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08244	6-thioxanthine 5'-monophosphate:L-glutamine amido-ligase (AMP-forming)	6.3.5.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08281	alcophosphamide:NAD + oxidoreductase	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08306	"2-phenyl-1,3-propanediol monocarbamate:NAD + oxidoreductase"	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08310	"4-hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one:NAD + oxidoreductase"	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08360	tryparedoxin:hydroperoxide oxidoreductase	1.11.1.15; 1.11.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08362	trypanothione:hydroperoxide oxidoreductase	1.11.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08363	2'-deoxyribonucleoside-diphosphate:tryparedoxin-disulfide 2'-oxidoreductase	1.17.4.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08364	2'-deoxyribonucleoside-diphosphate:trypanothione-disulfide 2'-oxidoreductase	1.17.4.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08468		2.1.1.98	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08469	S-Adenosyl-L-methionine:2-(3-carboxy-3-aminopropyl)-L-histidine methyltransferase	2.1.1.98	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08557	choline dehydrogenase	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08639	"alpha-D-glucose 1,6-phosphomutase"	5.4.2.2; 5.4.2.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
